Agency,Geographic Unit,Geographic Identifier,Indicator,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019
NYPD,Precinct,108,Domestic Violence Related Radio Runs,1532,1518,1686,1651,1577,1580,1697,1836,NA
NYPD,Precinct,107,Domestic Violence Related Radio Runs,2110,2207,2314,2177,2199,2415,2309,2438,NA
NYPD,Precinct,106,Domestic Violence Related Radio Runs,3511,3486,3792,3480,3300,3285,3414,3341,NA
NYPD,Precinct,105,Domestic Violence Related Radio Runs,4864,4584,5274,4304,4672,4732,4681,4598,NA
NYPD,Precinct,104,Domestic Violence Related Radio Runs,3223,3202,3460,3041,2905,2681,2894,2920,NA
NYPD,Precinct,103,Domestic Violence Related Radio Runs,4667,4480,5206,4665,4714,4596,4696,4596,NA
NYPD,Precinct,102,Domestic Violence Related Radio Runs,3725,3762,4206,3574,3518,3724,3805,3511,NA
NYPD,Precinct,101,Domestic Violence Related Radio Runs,3474,3291,3539,3228,3266,3481,3580,3445,NA
NYPD,Precinct,100,Domestic Violence Related Radio Runs,1321,1358,1315,1259,1419,1410,1544,1381,NA
NYPD,Precinct,94,Domestic Violence Related Radio Runs,792,770,762,751,737,793,790,821,NA
NYPD,Precinct,90,Domestic Violence Related Radio Runs,2413,2334,2577,2287,2418,2302,2397,2458,NA
NYPD,Precinct,88,Domestic Violence Related Radio Runs,1496,1547,1760,1614,1622,1631,1637,1611,NA
NYPD,Precinct,84,Domestic Violence Related Radio Runs,973,930,945,916,907,913,994,1084,NA
NYPD,Precinct,83,Domestic Violence Related Radio Runs,5417,4917,4732,4117,3522,3438,3471,3355,NA
NYPD,Precinct,81,Domestic Violence Related Radio Runs,4432,4332,4299,3787,3556,3329,3415,3108,NA
NYPD,Precinct,79,Domestic Violence Related Radio Runs,5073,4903,4854,4214,4034,4002,4192,3921,NA
NYPD,Precinct,78,Domestic Violence Related Radio Runs,667,711,822,805,751,808,843,815,NA
NYPD,Precinct,77,Domestic Violence Related Radio Runs,5065,4927,4829,4174,4056,3912,3657,3585,NA
NYPD,Precinct,76,Domestic Violence Related Radio Runs,1236,1314,1233,1152,1150,1130,1155,1098,NA
NYPD,Precinct,75,Domestic Violence Related Radio Runs,11090,11311,12575,11199,10740,10978,10796,10456,NA
NYPD,Precinct,73,Domestic Violence Related Radio Runs,7700,7931,8373,7844,7597,7575,7851,7621,NA
NYPD,Precinct,72,Domestic Violence Related Radio Runs,2189,2305,2511,1902,1935,1970,2042,1890,NA
NYPD,Precinct,71,Domestic Violence Related Radio Runs,3803,3815,4111,3423,3360,3273,3137,2965,NA
NYPD,Precinct,70,Domestic Violence Related Radio Runs,4810,4664,5455,4616,4041,4148,3890,3648,NA
NYPD,Precinct,69,Domestic Violence Related Radio Runs,3333,3372,3497,3022,3015,3166,3357,3152,NA
NYPD,Precinct,68,Domestic Violence Related Radio Runs,1797,2005,2155,1777,1558,1524,1716,1598,NA
NYPD,Precinct,67,Domestic Violence Related Radio Runs,7068,7052,8024,6865,6657,6560,6269,6230,NA
NYPD,Precinct,66,Domestic Violence Related Radio Runs,1913,1930,2085,1801,1547,1568,1494,1497,NA
NYPD,Precinct,63,Domestic Violence Related Radio Runs,2486,2532,2618,2290,2329,2247,2394,2194,NA
NYPD,Precinct,62,Domestic Violence Related Radio Runs,2477,2641,2816,2414,2364,2249,2138,2184,NA
NYPD,Precinct,61,Domestic Violence Related Radio Runs,2562,2522,2982,2331,2452,2313,2620,2498,NA
NYPD,Precinct,60,Domestic Violence Related Radio Runs,3127,3305,3446,3134,3120,3275,3389,3209,NA
NYPD,Precinct,52,Domestic Violence Related Radio Runs,6708,6786,7577,6558,6155,5773,6777,6615,NA
NYPD,Precinct,50,Domestic Violence Related Radio Runs,2166,2197,2332,2087,2175,2020,2323,2309,NA
NYPD,Precinct,49,Domestic Violence Related Radio Runs,4351,4198,4525,4164,4329,4298,4169,4101,NA
NYPD,Precinct,48,Domestic Violence Related Radio Runs,6439,6341,7046,6494,6575,6489,6812,6408,NA
NYPD,Precinct,47,Domestic Violence Related Radio Runs,7672,8064,8988,7844,7735,7723,7802,7897,NA
NYPD,Precinct,46,Domestic Violence Related Radio Runs,8563,8424,9044,8235,8157,7812,8015,7976,NA
NYPD,Precinct,45,Domestic Violence Related Radio Runs,3193,3025,3235,3063,3126,3133,3207,3140,NA
NYPD,Precinct,44,Domestic Violence Related Radio Runs,7840,7681,8629,7467,7689,7488,7983,7795,NA
NYPD,Precinct,43,Domestic Violence Related Radio Runs,9213,9095,9867,8661,8552,8349,8600,8579,NA
NYPD,Precinct,42,Domestic Violence Related Radio Runs,6344,6395,6622,6232,6388,6444,6716,6918,NA
NYPD,Precinct,41,Domestic Violence Related Radio Runs,3803,3961,4173,4001,3648,3694,3893,3786,NA
NYPD,Precinct,40,Domestic Violence Related Radio Runs,6584,6664,7313,6852,7166,7043,7390,7674,NA
NYPD,Precinct,34,Domestic Violence Related Radio Runs,2534,2552,2733,2447,2562,2511,2505,2644,NA
NYPD,Precinct,33,Domestic Violence Related Radio Runs,2099,2043,2248,2012,1946,1912,1930,1860,NA
NYPD,Precinct,32,Domestic Violence Related Radio Runs,4857,4810,5160,4648,4630,4521,4418,4322,NA
NYPD,Precinct,30,Domestic Violence Related Radio Runs,2342,2336,2426,2051,2083,2037,1959,1839,NA
NYPD,Precinct,28,Domestic Violence Related Radio Runs,2200,2294,2363,2142,2117,2071,2070,2129,NA
NYPD,Precinct,26,Domestic Violence Related Radio Runs,1271,1261,1208,1285,1260,1165,1337,1228,NA
NYPD,Precinct,25,Domestic Violence Related Radio Runs,2650,2711,2822,2640,2634,2715,2776,2731,NA
NYPD,Precinct,24,Domestic Violence Related Radio Runs,1620,1617,1732,1631,1720,1614,1975,1942,NA
NYPD,Precinct,23,Domestic Violence Related Radio Runs,3549,3653,3828,3498,3584,3665,3876,3819,NA
NYPD,Precinct,22,Domestic Violence Related Radio Runs,9,7,10,16,15,13,14,26,NA
NYPD,Precinct,20,Domestic Violence Related Radio Runs,693,696,827,784,731,712,769,856,NA
NYPD,Precinct,19,Domestic Violence Related Radio Runs,1231,1359,1449,1305,1272,1248,1394,1336,NA
NYPD,Precinct,18,Domestic Violence Related Radio Runs,711,771,839,913,893,845,958,993,NA
NYPD,Precinct,17,Domestic Violence Related Radio Runs,386,381,492,423,479,489,484,549,NA
NYPD,Precinct,14,Domestic Violence Related Radio Runs,439,506,613,585,584,537,691,910,NA
NYPD,Precinct,13,Domestic Violence Related Radio Runs,721,777,828,840,800,814,958,1004,NA
NYPD,Precinct,10,Domestic Violence Related Radio Runs,732,756,918,885,818,948,1060,1039,NA
NYPD,Precinct,9,Domestic Violence Related Radio Runs,1740,1570,1732,1555,1666,1679,1700,1598,NA
NYPD,Precinct,7,Domestic Violence Related Radio Runs,1437,1525,1618,1477,1520,1595,1659,1564,NA
NYPD,Precinct,6,Domestic Violence Related Radio Runs,353,388,388,430,396,434,423,475,NA
NYPD,Precinct,5,Domestic Violence Related Radio Runs,709,781,806,588,723,668,775,807,NA
NYPD,Precinct,1,Domestic Violence Related Radio Runs,550,516,657,601,613,563,721,742,NA
NYPD,Precinct,123,Average Response Time to crimes in progress - Critical (minutes),6.22,6.28,5.16,5.23,5.5,5.9219,NA,NA,NA
NYPD,Precinct,122,Average Response Time to crimes in progress - Critical (minutes),6.06,6.52,5.58,5.87,5.8,6.2607,NA,NA,NA
NYPD,Precinct,121,Average Response Time to crimes in progress - Critical (minutes),NA,NA,NA,113,132,87,NA,NA,NA
NYPD,Precinct,120,Average Response Time to crimes in progress - Critical (minutes),7.35,7.53,5.17,5.01,4.9,5.7876,NA,NA,NA
NYPD,Precinct,115,Average Response Time to crimes in progress - Critical (minutes),4.52,4.76,4.11,3.79,4,4.6533,NA,NA,NA
NYPD,Precinct,114,Average Response Time to crimes in progress - Critical (minutes),5.72,5.66,4.87,5.49,4.9,5.7614,NA,NA,NA
NYPD,Precinct,113,Average Response Time to crimes in progress - Critical (minutes),6.96,6.64,5.64,5.3,5.3,5.6338,NA,NA,NA
NYPD,Precinct,112,Average Response Time to crimes in progress - Critical (minutes),4.62,4.78,3.81,3.99,4.2,4.7429,NA,NA,NA
NYPD,Precinct,111,Average Response Time to crimes in progress - Critical (minutes),5.18,4.56,4.64,4.76,5,5.018,NA,NA,NA
NYPD,Precinct,110,Average Response Time to crimes in progress - Critical (minutes),5.25,5.17,4.46,4.59,4.9,5.6596,NA,NA,NA
NYPD,Precinct,109,Average Response Time to crimes in progress - Critical (minutes),5.49,5.5,4.97,4.75,4.5,5.7406,NA,NA,NA
NYPD,Precinct,108,Average Response Time to crimes in progress - Critical (minutes),5.86,5.66,4.89,5.13,4.5,6.0211,NA,NA,NA
NYPD,Precinct,107,Average Response Time to crimes in progress - Critical (minutes),5.18,5.71,5.13,4.9,5,6.5576,NA,NA,NA
NYPD,Precinct,106,Average Response Time to crimes in progress - Critical (minutes),5.07,5.57,5.12,4.91,5.1,6.5742,NA,NA,NA
NYPD,Precinct,105,Average Response Time to crimes in progress - Critical (minutes),5.68,6.08,5.19,4.66,5.3,6.2783,NA,NA,NA
NYPD,Precinct,104,Average Response Time to crimes in progress - Critical (minutes),4.96,5.43,4.83,4.91,4.6,5.3482,NA,NA,NA
NYPD,Precinct,103,Average Response Time to crimes in progress - Critical (minutes),5.65,6.31,5.25,4.59,4.7,5.9491,NA,NA,NA
NYPD,Precinct,102,Average Response Time to crimes in progress - Critical (minutes),5.64,5.83,5.16,5.03,4.6,5.6924,NA,NA,NA
NYPD,Precinct,101,Average Response Time to crimes in progress - Critical (minutes),4.59,4.31,4.04,3.75,4.5,4.9162,NA,NA,NA
NYPD,Precinct,100,Average Response Time to crimes in progress - Critical (minutes),4.58,4.12,5.51,3.54,4.3,4.1979,NA,NA,NA
NYPD,Precinct,94,Average Response Time to crimes in progress - Critical (minutes),4.46,4.03,4.24,4.36,4.6,4.7501,NA,NA,NA
NYPD,Precinct,90,Average Response Time to crimes in progress - Critical (minutes),4.76,4.71,4.21,4.19,4.2,4.6777,NA,NA,NA
NYPD,Precinct,88,Average Response Time to crimes in progress - Critical (minutes),4.21,4.55,4.58,3.93,4.1,4.7208,NA,NA,NA
NYPD,Precinct,84,Average Response Time to crimes in progress - Critical (minutes),4.81,4.91,3.71,4.15,4.4,4.3667,NA,NA,NA
NYPD,Precinct,83,Average Response Time to crimes in progress - Critical (minutes),5.5,5.05,4.86,4.63,4.8,5.1582,NA,NA,NA
NYPD,Precinct,81,Average Response Time to crimes in progress - Critical (minutes),5.13,4.33,3.75,3.8,4.5,4.7191,NA,NA,NA
NYPD,Precinct,79,Average Response Time to crimes in progress - Critical (minutes),4.41,4.55,4.34,4.18,4.3,4.873,NA,NA,NA
NYPD,Precinct,78,Average Response Time to crimes in progress - Critical (minutes),4.39,5.07,4.26,4.22,4.3,4.8751,NA,NA,NA
NYPD,Precinct,77,Average Response Time to crimes in progress - Critical (minutes),5.52,5.24,4.66,5.24,5.6,5.6518,NA,NA,NA
NYPD,Precinct,76,Average Response Time to crimes in progress - Critical (minutes),4.14,4.69,4.19,4.26,3.8,4.274,NA,NA,NA
NYPD,Precinct,75,Average Response Time to crimes in progress - Critical (minutes),6.6,6.51,5.98,6.65,5.1,5.6605,NA,NA,NA
NYPD,Precinct,73,Average Response Time to crimes in progress - Critical (minutes),5.49,5.72,5.24,6.1,5.1,4.7095,NA,NA,NA
NYPD,Precinct,72,Average Response Time to crimes in progress - Critical (minutes),4.6,4.97,4.28,3.92,4.3,4.5676,NA,NA,NA
NYPD,Precinct,71,Average Response Time to crimes in progress - Critical (minutes),5.28,5.21,4.94,5.51,5.5,6.609,NA,NA,NA
NYPD,Precinct,70,Average Response Time to crimes in progress - Critical (minutes),4.77,4.91,4.63,4.68,4.4,5.209,NA,NA,NA
NYPD,Precinct,69,Average Response Time to crimes in progress - Critical (minutes),4.48,4.72,5.11,4.93,4.9,5.1644,NA,NA,NA
NYPD,Precinct,68,Average Response Time to crimes in progress - Critical (minutes),4.96,4.58,4.3,4.43,4.7,5.8149,NA,NA,NA
NYPD,Precinct,67,Average Response Time to crimes in progress - Critical (minutes),6.34,6.34,5.24,5.54,5.4,6.3946,NA,NA,NA
NYPD,Precinct,66,Average Response Time to crimes in progress - Critical (minutes),5.25,5.36,4.56,4.59,4.6,5.8589,NA,NA,NA
NYPD,Precinct,63,Average Response Time to crimes in progress - Critical (minutes),4.6,4.98,4.39,4.78,5.2,7.0833,NA,NA,NA
NYPD,Precinct,62,Average Response Time to crimes in progress - Critical (minutes),5.04,5.43,4.57,4.76,5.5,5.0293,NA,NA,NA
NYPD,Precinct,61,Average Response Time to crimes in progress - Critical (minutes),5.08,5.93,5.32,5.24,6,6.5887,NA,NA,NA
NYPD,Precinct,60,Average Response Time to crimes in progress - Critical (minutes),5.07,5.27,5.86,4.57,5.3,6.4511,NA,NA,NA
NYPD,Precinct,52,Average Response Time to crimes in progress - Critical (minutes),5.09,5.52,4.32,4.8,5.2,5.5939,NA,NA,NA
NYPD,Precinct,50,Average Response Time to crimes in progress - Critical (minutes),5.01,4.86,4.48,4.83,5.3,5.327,NA,NA,NA
NYPD,Precinct,49,Average Response Time to crimes in progress - Critical (minutes),5.11,4.64,4.59,5.52,6,7.2011,NA,NA,NA
NYPD,Precinct,48,Average Response Time to crimes in progress - Critical (minutes),4.62,4.93,4.44,4.87,4.7,5.6689,NA,NA,NA
NYPD,Precinct,47,Average Response Time to crimes in progress - Critical (minutes),5.94,5.6,5.23,5.69,5.8,7.3361,NA,NA,NA
NYPD,Precinct,46,Average Response Time to crimes in progress - Critical (minutes),5.17,5.13,4.95,5.13,5.4,6.4479,NA,NA,NA
NYPD,Precinct,45,Average Response Time to crimes in progress - Critical (minutes),5.4,6.32,5.29,5.82,5.8,6.8516,NA,NA,NA
NYPD,Precinct,44,Average Response Time to crimes in progress - Critical (minutes),5.37,5.5,5.1,5.08,6,7.4152,NA,NA,NA
NYPD,Precinct,43,Average Response Time to crimes in progress - Critical (minutes),6.23,5.92,5.78,5.95,6,6.4372,NA,NA,NA
NYPD,Precinct,42,Average Response Time to crimes in progress - Critical (minutes),4.97,4.94,5.16,5.82,5.7,5.97,NA,NA,NA
NYPD,Precinct,41,Average Response Time to crimes in progress - Critical (minutes),4.76,4.68,4.34,4.41,4.3,5.1877,NA,NA,NA
NYPD,Precinct,40,Average Response Time to crimes in progress - Critical (minutes),4.8,5.88,5.13,4.49,5,6.5875,NA,NA,NA
NYPD,Precinct,34,Average Response Time to crimes in progress - Critical (minutes),4.95,4.28,4.26,4.06,3.9,3.9358,NA,NA,NA
NYPD,Precinct,33,Average Response Time to crimes in progress - Critical (minutes),4.43,3.91,3.52,3.41,3.5,3.2325,NA,NA,NA
NYPD,Precinct,32,Average Response Time to crimes in progress - Critical (minutes),4.62,4.5,4.63,5.03,4.7,4.9612,NA,NA,NA
NYPD,Precinct,30,Average Response Time to crimes in progress - Critical (minutes),3.83,4.07,3.85,3.32,3.1,3.8117,NA,NA,NA
NYPD,Precinct,28,Average Response Time to crimes in progress - Critical (minutes),4.93,4.31,4.39,4,3.9,4.4468,NA,NA,NA
NYPD,Precinct,26,Average Response Time to crimes in progress - Critical (minutes),3.69,3.84,4.29,3.36,3.3,3.6488,NA,NA,NA
NYPD,Precinct,25,Average Response Time to crimes in progress - Critical (minutes),4.33,4.65,4.46,4.17,4.2,4.7181,NA,NA,NA
NYPD,Precinct,24,Average Response Time to crimes in progress - Critical (minutes),3.74,3.88,3.7,4.32,4.3,3.9478,NA,NA,NA
NYPD,Precinct,23,Average Response Time to crimes in progress - Critical (minutes),4.48,4.74,4.35,3.83,4,4.2492,NA,NA,NA
NYPD,Precinct,22,Average Response Time to crimes in progress - Critical (minutes),3.11,3.09,2.84,2.01,2.7,3.6986,NA,NA,NA
NYPD,Precinct,20,Average Response Time to crimes in progress - Critical (minutes),4.47,4.59,4.03,3.9,4.7,5.1078,NA,NA,NA
NYPD,Precinct,19,Average Response Time to crimes in progress - Critical (minutes),4.89,5.34,4.77,4.77,5.2,5.984,NA,NA,NA
NYPD,Precinct,18,Average Response Time to crimes in progress - Critical (minutes),3.92,5.12,4.03,5.2,5.3,5.6664,NA,NA,NA
NYPD,Precinct,17,Average Response Time to crimes in progress - Critical (minutes),5.24,5.52,4.16,5.76,5.1,6.2855,NA,NA,NA
NYPD,Precinct,14,Average Response Time to crimes in progress - Critical (minutes),4.6,5.2,5.02,4.97,6,6.0077,NA,NA,NA
NYPD,Precinct,13,Average Response Time to crimes in progress - Critical (minutes),5.17,4.79,4.28,4.56,4.6,5.1281,NA,NA,NA
NYPD,Precinct,10,Average Response Time to crimes in progress - Critical (minutes),4.12,4.15,3.89,4.13,4.5,4.9395,NA,NA,NA
NYPD,Precinct,9,Average Response Time to crimes in progress - Critical (minutes),4.28,3.9,4.01,4.38,4.2,5.1007,NA,NA,NA
NYPD,Precinct,7,Average Response Time to crimes in progress - Critical (minutes),3.54,3.45,4.22,4.26,4.6,4.3498,NA,NA,NA
NYPD,Precinct,6,Average Response Time to crimes in progress - Critical (minutes),3.92,4.02,3.44,3.73,3.9,3.9064,NA,NA,NA
NYPD,Precinct,5,Average Response Time to crimes in progress - Critical (minutes),4.24,4.77,4.08,3.91,4.3,5.3236,NA,NA,NA
NYPD,Precinct,1,Average Response Time to crimes in progress - Critical (minutes),4.78,4.64,4.51,4.02,4.3,5.4661,NA,NA,NA
DOE,School district,32,Average Daily Attendance,90,90.67927551269531,90.6,90.3,91,87.1796,91.01,NA,90.8603
DOE,School district,31,Average Daily Attendance,91.6,92.38231658935547,92.1,91.8,92.5,88.1835,92.13,NA,92.3354
DOE,School district,30,Average Daily Attendance,92.8,93.44819641113281,93.2,92.9,93.5,90.0399,93.60000000000001,NA,93.3479
DOE,School district,29,Average Daily Attendance,92.3,93.20195770263672,92.7,92.2,92.8,87.7447,92.27,NA,91.6542
DOE,School district,28,Average Daily Attendance,92.2,92.66938781738281,92.8,92.4,93.1,87.5166,92.43,NA,92.0482
DOE,School district,27,Average Daily Attendance,90.3,91.03988647460938,90.1,90.9,91.7,88.2178,91.9,NA,91.5322
DOE,School district,26,Average Daily Attendance,93.2,93.77516174316406,93.5,93.6,95.2,90.076,94.5,NA,94.2766
DOE,School district,25,Average Daily Attendance,92.1,92.92887115478516,92.6,92.5,92.9,92.4126,93.43,NA,93.2993
DOE,School district,24,Average Daily Attendance,93,93.91523742675781,93.7,93.4,94,91.2822,94.08999999999999,NA,93.9308
DOE,School district,23,Average Daily Attendance,88.2,88.40309143066406,88,87.1,87.2,83.1918,87.62,NA,87.2671
DOE,School district,22,Average Daily Attendance,93,93.50778198242188,93.1,92.9,93.7,89.3385,93.64,NA,93.3058
DOE,School district,21,Average Daily Attendance,91,91.83028411865234,91.2,91.4,91.6,88.0823,91.81,NA,91.9203
DOE,School district,20,Average Daily Attendance,93.3,93.46723175048828,93.8,94.1,94.8,90.788,94.26,NA,94.2519
DOE,School district,19,Average Daily Attendance,88.7,89.08256530761719,89.4,88.7,89.1,84.6859,89.66,NA,89.0608
DOE,School district,18,Average Daily Attendance,90.4,90.92294311523438,91.1,90.7,90.9,85.6381,90.62,NA,89.8584
DOE,School district,17,Average Daily Attendance,90,90.84247589111328,90.9,90.2,90.6,83.4379,90.71000000000001,NA,90.5497
DOE,School district,16,Average Daily Attendance,86.6,87.3355941772461,88.2,86.6,87.8,83.0722,87.44,NA,85.9185
DOE,School district,15,Average Daily Attendance,92.3,93.11187744140625,93.2,93.2,93.5,90.4392,93.27,NA,92.9773
DOE,School district,14,Average Daily Attendance,89.9,90.1521987915039,89.9,89.6,90.5,85.9172,90.67,NA,90.2504
DOE,School district,13,Average Daily Attendance,89.8,90.45265197753906,90.5,90.4,91,84.551,91.36999999999999,NA,91.2614
DOE,School district,12,Average Daily Attendance,87.9,88.72494506835938,88.9,88.1,88.7,83.5474,88.26,NA,88.8583
DOE,School district,11,Average Daily Attendance,90.4,91.30042266845703,91.5,90.8,91.5,85.9022,91.49000000000001,NA,91.1597
DOE,School district,10,Average Daily Attendance,89.5,90.14973449707031,90.5,90.4,91.2,86.125,91.32000000000001,NA,91.1098
DOE,School district,9,Average Daily Attendance,89.8,90.25032806396484,90.1,89.1,89.8,83.9054,89.42,NA,89.5066
DOE,School district,8,Average Daily Attendance,88.7,88.05858612060547,89,88.5,89.2,83.6282,88.7,NA,88.9188
DOE,School district,7,Average Daily Attendance,87,87.73279571533203,87.7,87.1,87.7,81.9539,87.68,NA,87.9508
DOE,School district,6,Average Daily Attendance,91.8,92.20317840576172,91.8,91.3,91.5,86.9201,91.8,NA,91.4043
DOE,School district,5,Average Daily Attendance,89.2,89.29474639892578,89.1,88.4,89.2,82.3747,88.96,NA,88.9872
DOE,School district,4,Average Daily Attendance,91.4,92.05140686035156,92,91.3,91.7,84.6796,91.85,NA,91.5503
DOE,School district,3,Average Daily Attendance,91.7,91.51128387451172,92.7,89.5,93,87.7647,92.05,NA,92.2125
DOE,School district,2,Average Daily Attendance,87.2,90.69959259033203,90.6,90.6,91.7,86.7372,91.29,NA,91.3663
DOE,School district,1,Average Daily Attendance,86.7,92.05651092529297,91.5,86.6,91.7,89.4274,91.69,NA,90.9058
DOE,School district,32,Average expenditure per student ($),18105,17965.6563,19605.334,20434.9551,NA,NA,23625,NA,NA
DOE,School district,31,Average expenditure per student ($),17249,17345.2148,18812.4805,19747.4805,NA,NA,22824,NA,NA
DOE,School district,30,Average expenditure per student ($),16442,16451.873,17367.3027,18233.8535,NA,NA,20708,NA,NA
